min_pts	weight_clus	meas_perc	k	n	min_perc	max_perc	eps	Fit	ARI	Vm
1	0.0	0.2	3	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.2	3	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.2	3	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.2	3	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.2	3	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.2	3	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.2	3	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.2	3	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.2	3	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.2	3	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.2	3	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.2	3	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.2	3	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.2	3	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.0	0.3	2	1	0.0	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.3	2	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.3	2	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.3	2	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.1	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.3	2	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.3	2	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.3	2	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.3	2	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.3	2	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.3	2	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.3	2	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.3	2	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.3	2	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.3	2	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.3	2	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.3	2	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.3	2	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.3	2	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.0	0.3	3	1	0.0	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.3	3	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.3	3	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.3	3	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.1	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.3	3	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.3	3	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.3	3	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.3	3	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.3	3	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.3	3	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.3	3	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.3	3	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.3	3	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.3	3	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.3	3	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.3	3	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.3	3	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.3	3	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.0	0.4	2	1	0.0	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.4	2	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.4	2	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.4	2	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.1	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.4	2	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.4	2	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.4	2	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.4	2	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.4	2	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.4	2	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.4	2	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.4	2	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.4	2	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.4	2	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.4	2	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.4	2	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.4	2	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.4	2	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.0	0.4	3	1	0.0	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.4	3	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.4	3	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.4	3	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.1	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.4	3	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.4	3	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.4	3	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.4	3	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.4	3	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.4	3	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.4	3	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.4	3	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.4	3	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.4	3	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.4	3	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.4	3	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.4	3	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.4	3	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.01	0.2	2	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.2	2	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.2	2	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.2	2	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.2	2	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.2	2	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.2	2	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.2	2	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.2	2	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.2	2	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.2	2	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.2	2	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.2	2	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.2	2	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.2	2	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.2	2	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.2	2	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.2	2	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.01	0.2	3	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.2	3	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.2	3	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.2	3	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.2	3	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.2	3	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.2	3	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.2	3	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.2	3	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.2	3	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.2	3	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.2	3	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.2	3	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.2	3	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.2	3	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.2	3	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.2	3	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.2	3	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.01	0.3	2	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.3	2	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.3	2	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.3	2	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.3	2	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.3	2	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.3	2	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.3	2	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.3	2	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.3	2	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.3	2	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.3	2	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.3	2	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.3	2	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.3	2	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.3	2	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.3	2	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.3	2	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.01	0.3	3	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.3	3	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.3	3	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.3	3	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.3	3	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.3	3	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.3	3	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.3	3	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.3	3	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.3	3	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.3	3	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.3	3	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.3	3	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.3	3	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.3	3	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.3	3	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.3	3	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.3	3	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.01	0.4	2	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.4	2	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.4	2	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.4	2	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.4	2	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.4	2	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.4	2	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.4	2	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.4	2	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.4	2	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.4	2	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.4	2	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.4	2	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.4	2	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.4	2	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.4	2	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.4	2	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.4	2	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.01	0.4	3	1	0.0	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.4	3	1	0.0	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.0	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.0	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.4	3	1	0.0	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.0	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.1	0.9	0.3	0.83	0.6674	0.7959
1	0.01	0.4	3	1	0.1	0.9	0.6	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.1	0.9	0.9	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.1	1.0	0.3	0.8	0.6009	0.762
1	0.01	0.4	3	1	0.1	1.0	0.6	0.93	0.7798	0.8566
1	0.01	0.4	3	1	0.1	1.0	0.9	0.93	0.7798	0.8566
1	0.01	0.4	3	2	0.0	0.9	0.3	-0.42	0.0031	0.4882
1	0.01	0.4	3	2	0.0	0.9	0.6	-0.36	0.0077	0.4925
1	0.01	0.4	3	2	0.0	0.9	0.9	-0.32	0.0122	0.4959
1	0.01	0.4	3	2	0.0	1.0	0.3	-0.42	0.0031	0.4882
1	0.01	0.4	3	2	0.0	1.0	0.6	-0.36	0.0077	0.4925
1	0.01	0.4	3	2	0.0	1.0	0.9	-0.32	0.0122	0.4959
1	0.01	0.4	3	2	0.1	0.9	0.3	-0.4	0.0036	0.4867
1	0.01	0.4	3	2	0.1	0.9	0.6	-0.33	0.009	0.4918
1	0.01	0.4	3	2	0.1	0.9	0.9	-0.23	0.0227	0.501
1	0.01	0.4	3	2	0.1	1.0	0.3	-0.4	0.0036	0.4867
1	0.01	0.4	3	2	0.1	1.0	0.6	-0.33	0.009	0.4918
1	0.01	0.4	3	2	0.1	1.0	0.9	-0.23	0.0227	0.501
1	0.001	0.2	2	1	0.0	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.2	2	1	0.0	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.0	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.0	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.2	2	1	0.0	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.0	1.0	0.9	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.1	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.2	2	1	0.1	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.1	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.1	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.2	2	1	0.1	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.2	2	1	0.1	1.0	0.9	0.993	0.7798	0.8566
1	0.001	0.2	2	2	0.0	0.9	0.3	0.858	0.0031	0.4882
1	0.001	0.2	2	2	0.0	0.9	0.6	0.864	0.0077	0.4925
1	0.001	0.2	2	2	0.0	0.9	0.9	0.868	0.0122	0.4959
1	0.001	0.2	2	2	0.0	1.0	0.3	0.858	0.0031	0.4882
1	0.001	0.2	2	2	0.0	1.0	0.6	0.864	0.0077	0.4925
1	0.001	0.2	2	2	0.0	1.0	0.9	0.868	0.0122	0.4959
1	0.001	0.2	2	2	0.1	0.9	0.3	0.86	0.0036	0.4867
1	0.001	0.2	2	2	0.1	0.9	0.6	0.867	0.009	0.4918
1	0.001	0.2	2	2	0.1	0.9	0.9	0.877	0.0227	0.501
1	0.001	0.2	2	2	0.1	1.0	0.3	0.86	0.0036	0.4867
1	0.001	0.2	2	2	0.1	1.0	0.6	0.867	0.009	0.4918
1	0.001	0.2	2	2	0.1	1.0	0.9	0.877	0.0227	0.501
1	0.001	0.2	3	1	0.0	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.2	3	1	0.0	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.0	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.0	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.2	3	1	0.0	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.0	1.0	0.9	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.1	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.2	3	1	0.1	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.1	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.1	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.2	3	1	0.1	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.2	3	1	0.1	1.0	0.9	0.993	0.7798	0.8566
1	0.001	0.2	3	2	0.0	0.9	0.3	0.858	0.0031	0.4882
1	0.001	0.2	3	2	0.0	0.9	0.6	0.864	0.0077	0.4925
1	0.001	0.2	3	2	0.0	0.9	0.9	0.868	0.0122	0.4959
1	0.001	0.2	3	2	0.0	1.0	0.3	0.858	0.0031	0.4882
1	0.001	0.2	3	2	0.0	1.0	0.6	0.864	0.0077	0.4925
1	0.001	0.2	3	2	0.0	1.0	0.9	0.868	0.0122	0.4959
1	0.001	0.2	3	2	0.1	0.9	0.3	0.86	0.0036	0.4867
1	0.001	0.2	3	2	0.1	0.9	0.6	0.867	0.009	0.4918
1	0.001	0.2	3	2	0.1	0.9	0.9	0.877	0.0227	0.501
1	0.001	0.2	3	2	0.1	1.0	0.3	0.86	0.0036	0.4867
1	0.001	0.2	3	2	0.1	1.0	0.6	0.867	0.009	0.4918
1	0.001	0.2	3	2	0.1	1.0	0.9	0.877	0.0227	0.501
1	0.001	0.3	2	1	0.0	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.3	2	1	0.0	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.0	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.0	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.3	2	1	0.0	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.0	1.0	0.9	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.1	0.9	0.3	0.983	0.6674	0.7959
1	0.001	0.3	2	1	0.1	0.9	0.6	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.1	0.9	0.9	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.1	1.0	0.3	0.98	0.6009	0.762
1	0.001	0.3	2	1	0.1	1.0	0.6	0.993	0.7798	0.8566
1	0.001	0.3	2	1	0.1	1.0	0.9	0.993	0.7798	0.8566
